audit_id,transaction_id,timestamp,severity,decision_source,amount,rule_risk_score,ml_fraud_score,model_confidence,final_risk_score,rule_action,final_action,final_reason,risk_type,is_fraud
AUD_TXN_000000,TXN_000000,2026-07-01T00:00:07,LOW,RULE_ENGINE_MONITORED,9829.06,5,5,95,5,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000001,TXN_000001,2026-07-01T00:00:09,CRITICAL,ML_AND_RULE_ENGINE,47463.1,100,100,100,100,LOCK,LOCK,RULE_LOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
AUD_TXN_000002,TXN_000002,2026-07-01T00:00:35,HIGH,ML_AND_RULE_ENGINE,7202.54,25,97,97,65,WARN,BLOCK,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD,VELOCITY_SPIKE,1
AUD_TXN_000003,TXN_000003,2026-07-01T00:00:39,MEDIUM,RULE_ENGINE,13072.17,25,18,82,21,WARN,WARN,RULE_WARN|LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY,BENIGN_HIGH_VALUE,0
AUD_TXN_000004,TXN_000004,2026-07-01T00:00:42,LOW,RULE_ENGINE_MONITORED,3089.43,5,2,98,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000005,TXN_000005,2026-07-01T00:01:09,LOW,RULE_ENGINE_MONITORED,1944.45,5,6,94,6,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000006,TXN_000006,2026-07-01T00:01:11,LOW,RULE_ENGINE_MONITORED,3269.61,5,1,99,3,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000007,TXN_000007,2026-07-01T00:01:35,LOW,RULE_ENGINE_MONITORED,11152.44,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000008,TXN_000008,2026-07-01T00:02:17,LOW,RULE_ENGINE_MONITORED,1293.01,5,0,100,2,ALLOW,ALLOW,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY,NORMAL,0
AUD_TXN_000009,TXN_000009,2026-07-01T00:02:33,CRITICAL,ML_AND_RULE_ENGINE,14264.98,100,100,100,100,LOCK,LOCK,RULE_LOCK|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE,ACCOUNT_TAKEOVER,1
