transaction_id,account_id,timestamp,amount,daily_total_before_txn,daily_limit,tx_count_2min,beneficiary_age_days,is_new_device,is_new_location,failed_login_count_1h,hour_of_day,merchant_risk_score,account_age_days,avg_amount_30d,risk_type,is_fraud,total_after_txn,daily_limit_utilization,amount_to_avg_ratio,daily_limit_breach,large_amount_anomaly,velocity_spike,new_beneficiary_risk,account_takeover_signal,high_merchant_risk,suspicious_hour_activity,failed_login_risk,rule_risk_score,reason_codes,rule_action,rule_action_code,ml_fraud_probability,ml_fraud_score,model_confidence,predicted_fraud,final_risk_score,final_action,final_action_code,final_reason
TXN_000000,ACC_0205,2026-07-01 00:00:07,9829.06,58817.68,500000.0,1,277,0,0,0,0,11,686,4419.05,NORMAL,0,68646.74,0.13729348,2.224247292970208,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0538245199245199,5,95,0,5,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000001,ACC_0028,2026-07-01 00:00:09,47463.1,63181.14,100000.0,7,5,1,1,4,0,87,1377,7550.81,ACCOUNT_TAKEOVER,1,110644.24,1.1064424,6.285828937557692,1,1,1,1,1,1,1,1,100,DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,LOCK,3,0.9992,100,100,1,100,LOCK,3,RULE_LOCK|DAILY_LIMIT_BREACH|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
TXN_000002,ACC_0112,2026-07-01 00:00:35,7202.54,17312.06,50000.0,10,350,0,0,2,0,43,1402,2116.09,VELOCITY_SPIKE,1,24514.6,0.490292,3.403702110968815,0,0,1,0,0,0,1,0,25,VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY,WARN,1,0.965690720169123,97,97,1,65,BLOCK,2,RULE_WARN|VELOCITY_SPIKE|SUSPICIOUS_HOUR_ACTIVITY|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD
TXN_000003,ACC_0020,2026-07-01 00:00:39,13072.17,20554.83,50000.0,1,787,1,0,1,0,55,1265,2240.38,BENIGN_HIGH_VALUE,0,33627.0,0.67254,5.834800346369812,0,1,0,0,0,0,1,0,25,LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY,WARN,1,0.177972655449126,18,82,0,21,WARN,1,RULE_WARN|LARGE_AMOUNT_ANOMALY|SUSPICIOUS_HOUR_ACTIVITY
TXN_000004,ACC_0038,2026-07-01 00:00:42,3089.43,89515.23,200000.0,2,114,0,0,0,0,30,713,2842.13,NORMAL,0,92604.66,0.4630232999999999,1.0870122056345064,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0204838398268398,2,98,0,3,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000005,ACC_0043,2026-07-01 00:01:09,1944.45,21251.31,50000.0,3,222,1,0,1,0,15,905,2204.78,NORMAL,0,23195.76,0.4639152,0.8819247271836645,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0611988045404887,6,94,0,6,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000006,ACC_0272,2026-07-01 00:01:11,3269.61,34004.01,100000.0,1,325,0,0,0,0,30,404,2666.53,NORMAL,0,37273.62,0.3727362,1.2261665910377906,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0076325219961945,1,99,0,3,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000007,ACC_0099,2026-07-01 00:01:35,11152.44,11132.46,200000.0,1,968,0,0,0,0,33,375,9044.26,NORMAL,0,22284.9,0.1114245,1.233095908344077,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.001,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000008,ACC_0112,2026-07-01 00:02:17,1293.01,9826.6,50000.0,1,660,0,0,0,0,17,1402,2116.09,NORMAL,0,11119.61,0.2223922,0.6110373377313819,0,0,0,0,0,0,1,0,5,SUSPICIOUS_HOUR_ACTIVITY,ALLOW,0,0.0036190476190476,0,100,0,2,ALLOW,0,LOW_RISK_SIGNAL_MONITORED|SUSPICIOUS_HOUR_ACTIVITY
TXN_000009,ACC_0050,2026-07-01 00:02:33,14264.98,128901.64,200000.0,7,2,1,1,6,0,91,1906,2491.05,ACCOUNT_TAKEOVER,1,143166.62,0.7158331,5.72649284438289,0,1,1,1,1,1,1,1,100,LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK,LOCK,3,1.0,100,100,1,100,LOCK,3,RULE_LOCK|LARGE_AMOUNT_ANOMALY|VELOCITY_SPIKE|NEW_BENEFICIARY_RISK|ACCOUNT_TAKEOVER_SIGNAL|HIGH_MERCHANT_RISK|SUSPICIOUS_HOUR_ACTIVITY|FAILED_LOGIN_RISK|HIGH_CONFIDENCE_ML_FRAUD|ML_PREDICTED_FRAUD|ATO_SECURITY_OVERRIDE
