transaction_id,daily_limit_breach,velocity_spike,large_amount_anomaly,new_beneficiary_risk,account_takeover_signal,high_merchant_risk,failed_login_risk,rule_risk_score,ml_fraud_score,model_confidence,autoencoder_anomaly_score,isolation_forest_anomaly_score,final_risk_score,final_action_code,final_action
TXN_000000,0,0,0,0,0,0,0,5,5,95,15,44,15,0,ALLOW
TXN_000001,1,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000002,0,1,0,0,0,0,0,25,97,97,45,56,65,2,BLOCK
TXN_000003,0,0,1,0,0,0,0,25,18,82,2,71,33,1,WARN
TXN_000004,0,0,0,0,0,0,0,5,2,98,4,25,9,0,ALLOW
TXN_000005,0,0,0,0,0,0,0,5,6,94,9,51,17,0,ALLOW
TXN_000006,0,0,0,0,0,0,0,5,1,99,1,11,5,0,ALLOW
TXN_000007,0,0,0,0,0,0,0,5,0,100,15,36,10,0,ALLOW
TXN_000008,0,0,0,0,0,0,0,5,0,100,3,10,4,0,ALLOW
TXN_000009,0,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000010,0,1,0,0,0,0,0,25,90,90,19,53,61,2,BLOCK
TXN_000011,0,0,0,0,0,0,0,5,2,98,1,19,7,0,ALLOW
TXN_000012,0,0,0,0,0,0,0,5,0,100,1,17,6,0,ALLOW
TXN_000013,0,0,0,1,1,0,1,60,100,100,100,93,100,3,LOCK
TXN_000014,1,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000015,0,0,0,0,0,0,0,5,1,99,8,35,11,0,ALLOW
TXN_000016,0,0,0,0,0,0,0,5,6,94,4,34,13,0,ALLOW
TXN_000017,1,0,1,0,0,0,0,55,100,100,100,80,100,3,LOCK
TXN_000018,0,1,0,1,1,0,1,80,100,100,100,99,100,3,LOCK
TXN_000019,0,0,0,0,0,0,0,5,3,97,9,25,9,0,ALLOW
TXN_000020,0,1,0,1,1,1,1,90,100,100,100,95,100,3,LOCK
TXN_000021,0,0,0,0,0,0,0,5,0,100,2,12,4,0,ALLOW
TXN_000022,0,0,0,0,0,0,0,5,0,100,7,35,10,0,ALLOW
TXN_000023,0,0,0,0,0,0,0,5,0,100,5,21,7,0,ALLOW
TXN_000024,0,1,0,0,0,0,0,25,92,92,100,98,82,3,LOCK
TXN_000025,0,0,1,0,0,0,0,25,22,78,15,100,42,1,WARN
TXN_000026,0,1,0,0,1,0,1,65,99,99,100,84,100,3,LOCK
TXN_000027,0,1,0,0,0,0,0,25,6,94,21,44,21,1,WARN
TXN_000028,0,1,1,1,1,1,1,100,100,100,100,100,100,3,LOCK
TXN_000029,0,1,0,0,0,0,0,25,14,86,12,34,22,1,WARN
TXN_000030,0,1,0,0,0,0,0,25,35,65,3,53,36,1,WARN
TXN_000031,0,0,0,0,0,0,0,5,0,100,7,15,5,0,ALLOW
TXN_000032,0,0,0,0,0,0,0,5,96,96,17,66,61,2,BLOCK
TXN_000033,1,1,1,1,1,0,1,100,100,100,100,100,100,3,LOCK
TXN_000034,0,0,0,0,0,0,0,5,0,100,10,18,6,0,ALLOW
TXN_000035,0,0,0,0,0,0,0,5,7,93,3,46,16,0,ALLOW
TXN_000036,0,0,0,0,0,0,0,5,0,100,7,22,7,0,ALLOW
TXN_000037,0,0,0,0,0,0,0,5,4,96,4,28,10,0,ALLOW
TXN_000038,0,0,0,0,0,0,0,5,0,100,13,33,10,0,ALLOW
TXN_000039,0,0,0,0,0,0,0,5,0,100,2,16,6,0,ALLOW
TXN_000040,0,0,0,0,0,0,0,5,1,99,5,16,6,0,ALLOW
TXN_000041,0,1,0,0,0,0,0,25,4,96,3,27,16,1,WARN
TXN_000042,0,0,0,0,0,0,0,5,98,98,26,76,65,2,BLOCK
TXN_000043,1,1,1,1,0,0,0,90,100,100,100,84,100,3,LOCK
TXN_000044,0,0,0,0,0,0,0,5,98,98,16,62,61,2,BLOCK
TXN_000045,0,0,0,0,0,0,0,5,0,100,1,26,8,0,ALLOW
TXN_000046,0,0,0,0,0,0,0,5,0,100,2,20,6,0,ALLOW
